Host,Name,IP,Groups,Tags
CL-PVE-TI-ACC-40,CL-PVE-TI-ACC-40,10.2.2.33,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-ACC-41,CL-PVE-TI-ACC-41,10.2.2.51,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-ACC-42,CL-PVE-TI-ACC-42,10.2.2.49,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-ACC-43,CL-PVE-TI-ACC-43,10.2.2.17,"CL-PVE-TI, FLUJOS",
PE-MBV-TI-UPS-01,PE-MBV-TI-UPS-01,192.168.10.200,PE-MBV-TI,
CL-PK-GW-GTD,CL-PK-GW-GTD,152.230.244.225,"CL-DC-PK, Firewalls",
CL-PTR-PK-SW-01,CL-PTR-PK-SW-01,10.124.2.3,"CL-PTR-PK, switch","marca:aruba, modelo:2930F-48G-740W-PoE+-4SFP+, red:parking"
CL-PTR-PK-SW-02,CL-PTR-PK-SW-02,10.124.2.4,"CL-PTR-PK, switch","modelo:2530-24G-PoE+, red:parking, marca:aruba"
CL-PTR-TI-ACC-07,CL-PTR-TI-ACC-07,10.4.2.47,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-08,CL-PTR-TI-ACC-08,10.4.2.14,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-09,CL-PTR-TI-ACC-09,10.4.2.12,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-10,CL-PTR-TI-ACC-10,10.4.2.13,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-11,CL-PTR-TI-ACC-11,10.4.2.26,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-12,CL-PTR-TI-ACC-12,10.4.2.16,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-13,CL-PTR-TI-ACC-13,10.4.2.27,"CL-PTR-TI, FLUJOS",
CL-PVE-TI-ACC-44,CL-PVE-TI-ACC-44,10.2.2.9,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-ACC-45,CL-PVE-TI-ACC-45,10.2.2.59,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-ACC-46,CL-PVE-TI-ACC-46,10.2.2.50,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-ACC-47,CL-PVE-TI-ACC-47,10.2.2.3,"CL-PVE-TI, FLUJOS",
CL-PLS-PK-SW-01,CL-PLS-PK-SW-01,10.124.113.3,"switch, CL-PLS-PK","modelo:2930F-24G-PoE+-4SFP+, marca:aruba, red:parking"
CL-PCO-COP-CAM-182,CL-PCO-COP-CAM-182,10.152.28.37,CL-PCO-COP,
SHAREPOINT,CL-DC-TI-SHAREPOINT,10.15.1.165,"Virtual machines, servers, CL-DC-TI, Windows Server","SO:Windows, SO_VERSION:WS2012, BD:SQL2012, HW:Virtual, MODELO:NA, AREA:CDN-App"
CL-PTR-TI-ACC-14,CL-PTR-TI-ACC-14,10.4.2.28,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-15,CL-PTR-TI-ACC-15,10.4.2.10,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-16,CL-PTR-TI-ACC-16,10.4.2.24,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-17,CL-PTR-TI-ACC-17,10.4.2.40,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-18,CL-PTR-TI-ACC-18,10.4.2.32,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-19,CL-PTR-TI-ACC-19,10.4.2.36,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-20,CL-PTR-TI-ACC-20,10.4.2.19,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-21,CL-PTR-TI-ACC-21,10.4.2.21,"CL-PTR-TI, FLUJOS",
CL-PVE-TI-ACC-48,CL-PVE-TI-ACC-48,10.2.2.52,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-CC-01,CL-PVE-TI-CC-01,10.2.0.222,CL-PVE-TI,
CL-PVE-TI-CC-02,CL-PVE-TI-CC-02,10.2.0.220,CL-PVE-TI,
CL-PVE-TI-CC-03,CL-PVE-TI-CC-03,10.2.0.221,CL-PVE-TI,
CL-PVE-TI-CC-04,CL-PVE-TI-CC-04,10.2.0.223,CL-PVE-TI,
CL-PTR-COP-CAM-167,CL-PTR-COP-CAM-167,10.150.20.185,CL-PTR-COP,
BES-DATA,CL-DC-TI-BES-DATA,10.15.1.174,"Virtual machines, servers, CL-DC-TI, Windows Server","SO:Windows, SO_VERSION:WS2019, BD:, HW:Virtual, MODELO:NA, AREA:CDN-App"
CL-PVE-TI-AP-02,CL-PVE-TI-AP-02,10.2.0.159,"CL-PVE-TI, AP","marca:cisco, modelo:AIR-CAP1702I-A-K9"
CL-POE-COP-SW-26,CL-POE-COP-SW-26,10.200.50.150,CL-POE-COP,
CL-PTR-TI-ACC-22,CL-PTR-TI-ACC-22,10.4.2.22,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-23,CL-PTR-TI-ACC-23,10.4.2.20,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-24,CL-PTR-TI-ACC-24,10.4.2.25,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-25,CL-PTR-TI-ACC-25,10.4.2.29,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-26,CL-PTR-TI-ACC-26,10.4.2.8,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-27,CL-PTR-TI-ACC-27,10.4.2.30,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-28,CL-PTR-TI-ACC-28,10.4.2.31,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-29,CL-PTR-TI-ACC-29,10.4.2.9,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-30,CL-PTR-TI-ACC-30,10.4.2.18,"CL-PTR-TI, FLUJOS",
CL-PVE-TI-CC-05,CL-PVE-TI-CC-05,10.2.0.224,CL-PVE-TI,
CL-PTR-COP-CAM-124,CL-PTR-COP-CAM-124,10.150.20.158,CL-PTR-COP,
CL-COP-COP-SW-08,CL-COP-COP-SW-08,10.160.254.246,CL-COP-COP,"modelo:S5735-L48P4X-A1, marca:huawei"
CL-PVE-TI-UPS-01,CL-PVE-TI-UPS-01,10.2.1.254,"CL-PVE-TI, UPS",
CL-PTR-COP-CAM-95,CL-PTR-COP-CAM-95,10.150.20.90,CL-PTR-COP,
CL-PLD-PK-SW-CCTV,CL-PLD-PK-SW-CCTV,10.121.194.3,"CL-PLD-PK, switch, Switch-Parking","marca:cisco, red:parking, modelo:SF200-24"
CL-PCO-TI-SW-CORE,CL-PCO-TI-SW-CORE,10.18.0.2,"CL-PCO-TI, switch","filtro-inventario:switch, marca:huawei, modelo:S5735-L48P4X-A1"
CL-PTR-TI-ACC-31,CL-PTR-TI-ACC-31,10.4.2.11,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-32,CL-PTR-TI-ACC-32,10.4.2.33,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-33,CL-PTR-TI-ACC-33,10.4.2.34,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-34,CL-PTR-TI-ACC-34,10.4.2.35,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-35,CL-PTR-TI-ACC-35,10.4.2.5,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-36,CL-PTR-TI-ACC-36,10.4.2.55,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-37,CL-PTR-TI-ACC-37,10.4.2.56,"CL-PTR-TI, FLUJOS",
